929053.2999999999	849146.7200000001
929053.3	849146.7199999997
929456.4366851161	848356.4357638479
929456.4366851163	848348.7890809504
929456.4366851165	848348.78908095
929456.4366851167	848348.7890809495
929460.3	821200.7999999998
929609.6999999995	820945.0999999994
930115.6999999927	820382.3284130363
930115.699999993	815432.2999999921
930624.8694230287	814776.4655945814
930624.8694230288	814776.4655945813
930624.8694230289	814776.4655945811
930624.869423029	814776.465594581
930624.8694230291	814776.4655945809
930624.8694230292	814776.4655945807
930624.8694230295	813571.7
931131.3999999999	811780.3200000001
933246.3999999999	806824.3200000001
933779.4995021782	806824.3199999997
934728.6979397292	805245.270425316
934728.6979397294	803691.6721606816
934829.1000000003	803492.9457455867
934829.1000000004	803492.9457455864
936775.8999999996	782812.9999999998
936775.8999999997	782812.9999999995
936925.2999999993	782557.3000000012
936925.2999999995	782557.2999999996
937285.0694230292	780952.400000001
937285.0694230293	780952.4000000005
937285.0694230294	780952.4
937285.0694230295	780952.3999999997
937285.0694230297	780952.3999999992
937337.2870110701	780767.7289315255
937337.2870110702	780767.728931525
937358.3042584272	780693.4000000011
937358.3042584273	780693.4000000004
937358.3042584275	780693.4000000001
937358.3042584276	780693.3999999997
937701.6207627112	779479.2377215411
937701.6207627113	779479.2377215407
937701.6207627114	779479.2377215403
937701.6207627115	779479.2377215399
937701.6207627116	779479.2377215395
937701.6207627117	779479.2377215391
937791.6	779161.02
938234.572154963	778123.0200000016
938234.5721549632	778123.0200000012
938234.5721549633	778123.020000001
938234.5721549634	778123.0200000007
938234.5721549635	778123.0200000004
938234.5721549639	778123.0199999994
938234.572154964	778123.0199999993
938234.5721549641	778123.019999999
938599.5999999996	777267.663971632
938599.5999999997	777267.6639716318
938599.5999999999	777267.6639716316
938599.6	777267.6639716313
938629.1929176747	777198.3200000022
938629.1929176748	777198.3200000017
938629.192917675	777198.3200000013
938629.1929176752	777198.3200000006
939339.8999999991	775532.9468085129
939339.8999999992	775532.9468085126
939339.8999999993	775532.9468085122
939339.8999999994	775532.9468085119
939339.8999999996	775532.9468085116
939339.8999999997	775532.9468085114
939339.8999999998	775532.9468085112
939339.8999999999	775532.9468085108
939365.7728208225	775472.3200000018
939365.7728208227	775472.3200000015
939365.7728208228	775472.3200000012
939365.7728208229	775472.3200000008
939365.772820823	775472.3200000005
939365.7728208231	775472.3200000003
939365.7728208232	775472.32
939365.7728208234	775472.3199999997
939365.7728208235	775472.3199999995
939677.8999999994	774740.9241134766
939677.8999999996	774740.9241134763
939677.8999999997	774740.924113476
939677.8999999998	774740.9241134756
939677.8999999999	774740.9241134753
939677.9	774740.9241134751
939677.9000000001	774740.9241134749
939906.5999999994	774205.0199999996
940168.2573493228	773687.1200000015
940168.257349323	773687.1200000009
940168.2573493231	773687.1200000007
940168.2573493232	773687.1200000005
940168.2573493234	773687.1200000003
940168.2573493235	773687.12
940168.2573493236	773687.1199999998
940168.2573493237	773687.1199999995
940168.2573493238	773687.1199999994
940746.389237392	772542.8200000008
940746.3892373921	772542.8200000005
940746.3892373922	772542.8200000003
940746.3892373923	772542.8200000001
940746.3892373925	772542.8199999997
940767.5999999996	772500.8374071827
940767.5999999997	772500.8374071824
940767.5999999999	772500.8374071822
940767.6	772500.837407182
940907.9999999994	772222.9428241033
940907.9999999997	772222.942824103
940907.9999999998	772222.9428241027
940907.9999999999	772222.9428241024
940908	772222.9428241021
940908.0000000001	772222.9428241019
940941.999999999	772155.6464150964
940941.9999999991	771956.9199999988
941042.4020602714	771758.1935849043
941042.4020602715	771758.1935849038
941388.8979397295	771271.0985757757
941388.8979397296	771271.0985757756
941388.8979397297	771072.3721606808
941388.89793973	771072.3721606804
941388.8979397302	771072.3721606799
941388.8979397304	771072.3721606797
941489.3000000003	770873.6457455866
941489.3000000005	770873.6457455861
941489.3000000007	770873.6457455857
941489.300000001	770873.6457455852
941489.3000000014	770873.6457455845
941489.3000000017	770873.6457455843
941494.3753874539	770863.6000000001
941494.3753874542	770863.5999999996
941657	770541.7161046865
941657.0000000002	770541.7161046863
941710.8552890529	770435.1199999999
942410.5999999999	769050.1109920877
942410.6000000001	769050.1109920875
942584.9999999998	768704.9199999997
943344.8	758665.1999999997
943378.7999999996	758079.2999999995
943378.8000000003	758079.2999999992
943457.0999999999	757908.1842391305
943457.1000000001	757908.1842391301
943457.1000000003	757908.1842391297
943457.1000000006	757908.1842391293
944505.0999999997	752888.3299999996
944640.761109583	752888.3299999993
944640.7611095831	752408.5552153493
944640.7611095832	752408.555215349
944709.8465031347	752164.2299999978
944709.8465031348	752164.2299999974
944709.8465031349	752164.229999997
944709.846503135	752164.2299999965
944709.8465031352	752164.2299999961
945077.9999999994	750862.2299999993
947192.999999999	745906.2299999992
947434.8999999998	745405.321159136
947434.9000000001	745405.3211591351
947434.9000000003	745405.321159135
947434.9000000004	745405.3211591346
947434.9000000005	745405.3211591345
947701.9999999999	744852.2299999999
947867.631142688	744852.2299999994
947867.6311426881	744852.2299999993
947867.6311426882	744852.2299999972
947867.6311426883	744852.2299999967
947867.6311426884	744852.2299999956
947943.0557726468	744098.4299999967
947943.0557726469	744098.4299999964
947943.055772647	744098.4299999947
947943.0557726471	744098.4299999941
947943.0557726473	744098.429999993
948169.8999999991	741831.3299999989
948169.9000000006	741831.3299999988
948169.9000000007	741831.3299999986
948283.8999999999	741595.2671316308
948283.9	741595.2671316306
948283.9000000001	741595.2671316303
948283.9000000003	741595.2671316301
948283.9000000004	741595.26713163
948678.8999999998	740777.3299999997
949260.7999999995	740023.5299999994
949439.3999999993	739911.324052045
