-580	-20	-426
-578.0368971489474	-30.992115196731483	-435.5197375432987
-565	-23	-441
-563.5544271299606	-87.17653691316224	-465.10133555086895
-551.1948297263514	-146.65511996898968	-399.41604566182207
-535.083173135418	-239.84353327655433	-532.9104027253924
-507	-353	-351
-506.2767695099818	-441.9990925589837	-42.31397459165154
-504	-347	-408
-503	-442	-42
-494.417910921663	-292.38698122607445	-442.0936117071498
-489.6413109563071	-360.7262180756485	-244.81885076466037
-472.8954441275498	-330.87693777284056	-449.14265487360797
-461.0021076203649	-433.7420580034688	-251.37684691211663
-458.0872861384139	-268.8602482603522	-457.65205811829134
-457.73181942423014	-260.3843229925468	-479.27664454352146
-448.6985020936757	-437.40026579723184	-147.7585892338598
-443.7166264575794	-402.91308135638656	-362.449839163651
-433.125	-251.48863636363635	-500.54545454545456
-433.0042815802584	-360.6484847686329	-580.6508746701502
-421	25	-642
-419.8411927112093	-448.88404196576477	-402.99127553837656
-419	-550	53
-400	-527	-74
-388.310745960974	-428.4695099564796	-453.18002168326285
-387.27272727272725	-430.8181818181818	-454.5454545454545
-376.4035497493625	-434.1112576044546	-461.66552446476015
-373.6603834647657	-470.07678182950167	-465.97938129480303
-363	-517	-382
-358.9335817268751	-518.7783897618663	-226.83642475295645
-326	-455	-485
-301.8810373083968	-485.07500241010314	-385.0088691796008
-299	-483	-386
-299	-448	-521
-297	-534	-66
-290.91917670682733	-551.2796184738955	-396.58885542168673
-288.42476900075974	-552.4255532952624	-394.78192936447635
-287.89615841153534	-552.5474501866881	-395.50098784055956
-287.72735166850833	-552.2607861191472	-395.8968432368441
-287.63285677135667	-552.9174455371814	-395.5377232591402
-287.600360889732	-552.7368903679309	-395.709014195636
-287.5622131786302	-552.8010337595366	-395.58492558278255
-282.12245728234336	-569.0614965567883	-402.40066780448115
-260	-610	-235
-256.2388235686909	-587.8687731826442	-266.0045012723072
-241.39446444085888	-266.898696785404	-612.7151297008812
-239.48284433192958	-261.8022951591023	-613.7360342731913
-232.10022883295193	-595.371167048055	-372.60686498855836
-232.02380952380952	-597.047619047619	-373.54761904761904
-226	4	-625
-225.68258004600324	-264.7425051796472	-645.9842933274189
-220	-600	-344
-211.82738095238096	-621.0892857142858	-383.05952380952385
-198.8468260087381	-500.34892486935667	-505.8217253490962
-198	-501	-505
-181.57829839704073	-639.5191122071517	-158.30332922318127
-180.20738481194223	-428.68432315587495	-562.6247669760196
-175.32207637231508	-423.722553699284	-604.9914081145585
-171	-695	-169
-170.85132382892058	-694.8391038696539	-171.05702647657841
-170.80611390284756	-695	-171.0435510887772
-159.46596274714798	9.126627428072176	-720.7041292790536
-159.46596274714798	9.12662742807219	-720.7041292790537
-158	-42	-676
-136.72727272727272	-627.5454545454546	-187.72727272727272
-134	-661	-315
-100.88694888602538	-92.58241287169514	-657.5048702555848
-97.12202478665205	-586.0217130263246	-500.27009742036324
-79	-672	-181
-77	-144	-655
-67	-457	-589
-63.180327868852466	-143.422131147541	-687.4795081967213
-61	-145	-685
-60.999999999999986	-144.05416666666665	-685.1291666666666
-60.37969401947149	-144.86369958275384	-686.6912378303198
-58.61321286697943	-143.33819080251595	-688.6988138225187
-57.52232142857143	-146.65267857142857	-686.4107142857142
-56.604536137599126	-685.041662953391	-317.46488726494965
-52.66038417529653	-90.69767422039253	-712.4272783023018
-52.23725129612634	-91.67526538874715	-711.9842985225426
-51.53399884236776	-86.116999643925	-715.6688994133206
-50.96270121711818	-90.66666666666666	-718.3486454652532
-19.139549865508634	-311.40648658151383	-610.2306184597626
-12.621457489878537	-703.085020242915	-166.0242914979757
-7.006987244798532	-333.55409686381273	-626.6525919616064
-2	-700	-267
4.277777777777777	-725.9722222222223	25.69444444444444
13	-715	-270
26.250768302802015	83.58137388134935	-740.1559518914851
27	81	-739
27.950917934617678	80.37615169541223	-740.8099910787446
28.620000000000005	80.25999999999999	-739.06
102.68973776262726	-747.847225007241	-151.83204108459773
122	76	-726
145.8866774505553	-69.0759847246773	-745.4596021078612
146.92829157386427	-69.26870297958413	-745
148	-69.03184871453738	-745.6565278065967
