856556.4	704781.0499999999
857633.4	701452.0499999999
860092.38	700539.91
860665.38	700015.91
863516.7000000001	694167.5700000001
865058.4000000001	692911.41
866702.1799999999	692585.02
867370.1799999999	692139.02
867686.8799999999	691934.02
868405.3799999999	691568.7100000001
869458.6000000001	689275.27
869628.1000000001	688531.77
869796.4	688285.27
869897	687423.87
870065.3	687177.37
870129.3	687102.5599999999
870385.9000000001	686845.96
870539.4000000001	686699.55
871195.6000000001	686110.61
871863.6000000001	685664.61
872462.2000000001	685306.4099999999
873381.1000000001	684801.71
873569.2000000001	684718.3
874953.7000000001	684208.2
875003.2000000001	684194.6
875168.1000000001	683619.9600000001
875215.38	683418.72
875383.68	683172.22
875640.28	682915.6200000001
875849.8	682816.97
876082.1	682495.6599999999
876213.28	682391.62
876575.4	682027.71
876881.28	681945.62
877362.18	681677.3200000001
877550.28	681593.9099999999
878281	681081.3999999999
878984.28	681070.21
879535.28	681061.62
881168.18	678811.82
881593.0800000001	678308.72
883646.5800000001	677446.9099999999
884010.3	677359.98
884658.4800000001	677235.32
884915.0800000001	676978.72
885395.9800000001	676710.4199999999
885584.0800000001	676627.01
886968.5800000001	676116.9099999999
887018.0800000001	676103.3099999999
887588.9	675773.3799999999
887593.7	675435.6199999999
889567.1000000001	674967.98
890915.7	674105.6199999999
892336.8000000002	673245.1799999999
895087.98	672245.11
897124.5800000001	671972.61
902089.1000000001	668981.6799999999
902737.28	668857.02
902993.88	668600.4199999999
905096.88	667725.01
905411.1000000001	667651.6799999999
907133.48	667452.51
907389.3	666846.28
912851.88	665334.6399999999
917198.5800000001	663943.73
922848.98	663246.23
928076.28	662990.64
928745.28	662638.9299999999
941067.38	662581.0399999999
949365.78	660867.94
