-861	146	-237
-817	-96	-338
-808	-141	-335
-796	117	-472
-781	-221	-277
-764	-156	-411
-746	-286	-539
-706	-374	274
-706	-292	-113
-680	-333	-490
-677.0854357798165	-140.84805045871562	-550.0659403669724
-675.7914308454192	-318.5754333215423	-541.8231782808631
-668.8262835219903	-406.6896280240387	-369.94894643664463
-664.5245901639344	-352.7049180327869	-557.5409836065573
-662	-263.78181818181815	-671.1272727272728
-659	-265	-671
-657.8031464798686	-274.7861003885847	-674.0494457560512
-656	-415	-326
-650	-287	-661
-633.5728107576253	-488.86848146933426	-782.2789439160381
-633.5154992548436	-489	-782.2031296572279
-614	-589	-105
-607	-519	-287
-607	-517	-307
-605	-533	-576
-603	-553	-328
-498	-677	-265
-488	-658	-310
-480	-609	-314
-475	-515	-744
-458	-595	-534
-420	-567	-589
-396	-530	-621
-395.1160492379836	-671.5006096131301	-380.4828253223916
-392	-661	-685
-390.83230219694883	-665.0226276138794	-384.36756651017214
-387	-571	-777
-381	-692	-447
-377	-758	-43
-369	-742	-258
-360	-712	-395
-339	-188	-785
-332.5569248826291	-721.0285602503913	-335.3675665101721
-329.67691179411963	-665.4413627575171	-447.41256083738915
-305	-770	-173
-295	-826	-313
-268.55692488262906	-890.0285602503913	-99.36756651017214
-268.55692488262906	-890.0285602503902	-99.36756651017235
-268.5569248826284	-890.0285602503907	-99.36756651017248
-104.55692488262909	-790.0285602503913	-484.36756651017214
-40.55692488262908	-836.0285602503913	-180.36756651017214
