-588	-158	-261	79
-588	-91	-392	90
-587	-362	-341	86
-586.5210909456137	-445.48234947496474	-237.50363080018062	85.94393568310122
-584.6870992618204	-386.29386933437206	-341.598314935248	265.87241232885253
-583.5105714061149	-486.69103198931066	-223.34425842961565	-115.51025701485499
-583.2782678050008	-487.4152974399271	-221.42244613841424	-114.94409394373517
-583	-467	-287	119
-583	-152	-351	329
-583	-90	-150	-162
-582.8106366795862	-154.26859916542958	-462.39935104355186	-233.22837738817793
-582.4509595800683	-407.96846230993697	-295.4119233775342	-216.70175120016177
-581.7496873580791	-462.14144817233927	-407.76541230773785	10.526505736820333
-579	-305	-279	-265
-577.5119913840658	-503.9887309884683	-394.056266253382	-188.957183009798
-576.0957646658535	-184.76012683198744	-450.4308052600526	16.860792482743392
-575	-352	-276	-280
-574.1983980466309	-175.61629284464445	-8.28471965989825	-454.79735770215825
-572.4816812634263	-84.55161587309081	-340.35959176286366	-259.98259798714224
-572	-186	-454	23
-571	-457	-222	-247
-571	-258	-403	-191
-570.8478467450313	-404.9248002338064	-346.5575408762694	-338.00696340127723
-570	-214	-416	15
-568	-417	-441	-35
-565.0227170143532	-249.34924853576143	-520.9029562306652	-293.60306849584174
-564.7488192044955	-451.85931011543425	-343.5299881237521	-351.1413093390326
-562	-356	-173	-392
-561.2250314947753	-397.90009527314294	-347.6318166588909	-330.1992827955836
-558.7914463538132	152.8586635148631	-44.68191288200069	-487.1032956220273
-557	21	-288	-399
-555.8862644455372	-133.3121926481436	-379.1216191295796	-334.01343127612495
-554	-39	-211	-376
-553	-84	-234	-366
-553	173	-466	-358
-552.2279255020757	-167.81479299899024	-547.5279928194772	-325.4075881670967
-552	-508	-204	98
-551.8202032898212	-167.69931392958614	-548.2090114388712	-325.25215851776204
-550.8138986060869	-42.79799286059081	-213.707594114457	-375.6429580276637
-550	-175	-399	-321
-549	-131	-231	-381
-547	67	-205	-435
-545	-518	-108	-17
-544	-149	-345	-346
-543	-428	-493	26
-541.0420453410566	-285.7465295116349	-438.2631578947369	-103.0153800059922
-541	-507	-253	-17
-540.4839816099075	-330.9214499086555	-13.660544958547092	-695.4932066742076
-540.1988978544229	-429.9697077720555	-403.61669406653135	-51.34738554964688
-540	-30	-182	-526
-539	-534	-278	-92
-537.5181062772746	-432.72295683547736	-398.87275187425826	-45.54667944851695
-536	-223	-498	-299
-535	-179	-330	-359
-533.8041291688725	-178.79467594343188	-273.54095137260833	-446.43726839597673
-533	-508	-224	-117
-532	-320	-437	-190
-529.5554661445423	-444.94536893270356	-455.41715866687935	-148.6424597361343
-529	196	-385	-465
-527.4650275823185	-488.0410838481537	-251.64391417046087	-200.6984041993246
-527.0645849133141	99.6619905112965	-540.9216167833647	-337.52213972027727
-527	-327	-350	-195
-527	138	-368	-343
-526.1336308133916	-439.62743943619716	-457.62412123391664	-142.4383661627316
-526.0381084135263	-421.5029869461222	-505.00519943863105	-266.29720491244046
-526	-480	-226	-252
-525.6126099012444	-530.9099040533545	-359.3943844527109	52.57749366976858
-524	106	-479	-423
-523	-175	-528	-154
-519	-541	-92	193
-518	-460	-410	221
-515.5987531877074	-481.57366411813985	-370.12191339833356	-293.79277239854264
-510	-91	-553	-184
-507.0253099384301	-481.586257633678	-361.7807419321616	-289.74810742984357
-506	-433	-195	-352
-506	-234	-376	-296
-505.6600128674453	-341.45162048113167	-458.53674438242103	-324.24977666069583
-505.57034555557743	-474.57783912472735	-363.05788441514085	-293.9224653216255
-505.04327737690824	-437.1727568526646	-174.81140398004192	-459.0300610809426
-504	-244	-288	-362
-503	179	-253	-453
-502.3933848153077	78.12604513634504	-404.8242099253448	-391.8224358946827
-502.3072584209952	78.10892341503784	-404.40382177714906	-392.31877385832604
-501	-48	-356	-344
-500.2921022859894	-447.11163860389547	-425.88978376215067	-70.04604261014546
-500.1266562502051	-447.08690995530264	-425.7312481299215	-70.39598291783466
-500	374	-471	-435
-499	-450	-432	45
-497.50561214206755	370.45067249796017	-471.32480979782963	-436.63040074474895
-497.1074896190761	-567.3834885590902	-245.55312610533667	147.8562923013408
-495.5397452060248	-93.23774135757415	-510.10516886736116	-397.9975781301838
-495	-514	-298	6
-493	-150	-401	-326
-491.0561843182483	-235.05954353355676	-213.15583040597073	-471.65529737575065
-491	-451	-403	-55
-490.1045838944734	-514.2027913551071	-284.5453645318181	-105.61557081475708
-489	-275	-232	-379
-488.02398105232686	-477.6190908280586	-411.16113417017937	-221.5319626663692
-487	-197	-533	-40
-486.85946987913866	-81.29825695065051	-390.41376960048893	-427.73814794698376
-486	-520	-135	-97
-485.20173156518536	-477.8742989815729	-406.2901320442745	-213.2689284555965
-484	-107	-204	-486
