-751	-104	44	252	-226
-609	-26	-56	193	-342
-601.5916244719299	-204.74616090870845	-52.33629761914075	113.6498724334306	-330.297741164047
-601.5004644086882	-204.89300752815217	-52.35101205231166	113.67715923891626	-330.25251389769613
-601.4227332505925	-205.04922425296968	-52.400657110289046	113.82750396538522	-330.28226997290005
-601.3800872571362	-205.34502469904623	-49.138813700901466	111.15454762448424	-329.0146477861018
-592.04	-206.8	-51.18000000000001	121.84	-321.94
-584.0549824701337	-36.88276715932833	-112.56767302186323	-111.42855612235786	-313.26642122869777
-567.5084761905493	177.96409284291684	167.28084990026431	-119.91326181447548	-133.49017121359574
-566.1135323529973	-148.261153599834	-379.00389960516077	-235.3697245799804	-183.5915265651332
-566	-259	222	-78	-233
-565.6636564442879	273.20703411373785	160.03489922023022	-239.7461178128362	-376.8144071750245
-564	-17	-89	-42	-315
-563	48	165	-35	-417
-562	-139	530	-281	-250
-562	-122	221	-42	-377
-561.878729547642	-209.2204042348412	290.90856592877765	-63.5004812319538	-440.2685274302214
-561	273	163	-238	-372
-560.592624675164	-99.24006929835417	302.6298106669966	-334.78727880212847	-289.1208390050736
-560	-70	1	-86	-413
-560	103	219	-245	-332
-559.1324991152601	-190.43255640193053	-142.38113850058303	-134.89042630168382	-157.69953629755932
-559	168	473	-238	-434
-558	155	-1	-289	-368
-557	220	253	-282	-470
-556	50	309	-289	-430
-555	313	217	-181	-436
-554	143	273	-188	-396
-553	-210	21	-178	-284
-553	-75	-148	-69	-347
-552	195	53	-232	-432
-551	15	19	-381	-239
-551	105	142	-191	-240
-550	80	273	-374	-341
-549	-90	329	-381	-301
-549	0	452	-191	-302
-549	45	160	-272	-364
-548.3433219589562	37.25881514233991	153.81434132743792	-280.6497893337178	-367.9443857035293
-548	-199	174	-361	-23
-547	-38	109	-425	-337
-547	97	-60	-316	-400
-544	-62	173	-325	-167
-544	130	-73	-121	-287
-542	-10	-47	-369	-203
-541	420	179	-317	-344
-540	-254	473	-75	-301
-540	-237	164	164	-428
-539	-5	60	-141	-369
-538	-207	472	-216	-253
-538	-190	163	23	-380
-538	302	15	-368	-340
-537	53	416	-32	-485
-536	-117	472	-39	-445
-536	285	312	-337	-426
-535.8801091850173	-77.3673879778397	95.39726586578182	-70.66884293686508	-422.21148767003024
-535	-258	38	-15	-372
-535	-150	-27	-461	-74
-535	-60	96	-271	-75
-535	100	415	-173	-437
-535	115	368	-344	-386
-534	-137	30	74	-358
-534	-70	471	-180	-397
-534	-65	252	-83	-481
-533	-33	36	-218	-327
-533	167	148	-388	-422
-532	-18	251	-224	-433
-532	28	216	18	-447
-531	-138	346	-218	-389
-531	162	35	-460	-211
-531	260	196	-207	-440
-531	297	-134	-351	-274
-530	-105	-50	63	-381
-530	-46	-16	12	-360
-530	75	215	-123	-399
-529	-86	126	-262	-425
-528.0112224463621	-136.30383110142134	112.11149830654591	-265.4221732567451	-171.66903733202236
-528	-242	482	-279	-176
-528	-225	173	-40	-303
-528	35	118	-173	-411
-527	-205	272	-175	-352
-527	185	202	-133	-438
-526.2752293577983	-347.5816513761468	-123.08165137614678	198.31284403669724	-241.5045871559633
-526	27	168	-480	-293
-526	190	-121	-404	-77
-525	-158	271	-316	-304
-525	-23	102	-207	-367
-524.6545454545454	-343.32727272727277	-124.85454545454544	203.21818181818182	-241.5090909090909
-524	-478	-123	172	-93
-524	-253	136	-48	-209
-524	-105	481	-243	-320
-524	67	38	-184	-434
-524	126	72	-235	-413
