-776	-265	135	-279	-365
-775	-10	-192	-172	-203
-768	-181	-25	-29	159
-768	32	-232	155	12
-767	16	-402	44	59
-766	-220	-350	-149	227
-764	-491	14	-265	261
-764	-225	-64	-77	-2
-764	227	-411	167	149
-755	-129	-140	-314	36
-754	-69	12	-261	-330
-752	68	-310	-139	85
-751	-439	-101	-550	138
-751	22	-573	337	81
-750	-113	-27	-309	-491
-749.3538732394366	-442.3133802816901	-103.04577464788733	-552.2570422535211	134.43661971830986
-749	-333	-331	-110	-99
-749	-62	-488	108	16
-748	-384	337	-425	-457
-746	-574	7	-231	-160
-743	-147	-389	-146	137
-741	-231	-304	-375	72
-739.6914161996943	-488.36758150789615	174.29740830361692	-490.7219816607234	-418.52642638818133
-739.2275774018512	-488.23204596233643	173.6074050430897	-489.89562719438237	-419.2713054580274
-738	-277	-360	203	217
-738	-229	5	-254	-407
-738	-34	-474	-200	121
-737	-245	-165	-365	-360
-734	-486	173	-486	-421
-731.8882539052215	-248.1721103087488	-349.75083845181007	-108.28548366907376	317.3390409924162
-731	-58	-378	-428	139
-731	173	-501	65	-82
-727	-249	-346	-105	322
-726.8146514082619	-250.0089392814343	-346.1657874150986	-101.62081072432355	322.77288516097116
-723	-152	288	-492	-404
-721	-239	-336	-72	-338
-714	-371	-26	-552	-157
-713	-443	-88	-537	-34
-712	245	-264	-125	-349
-711	-365	250	-528	-456
-710	-480	-7	-438	-10
-710	60	-479	-162	-118
-708	-411	-155	-159	482
-707.6968105999363	-316.12519926903667	27.334438802642463	-188.01624262449582	-634.2079529417094
-707	-452	16	-501	-294
-706.0058238460133	-316.2425921200615	25.88911670961274	-187.72561768073237	-634.1469369933627
-706	-72	-314	-64	-574
-705	-464	106	-433	-537
-705	-199	220	-567	-151
-705	-123	-20	-419	-217
-704.7574561940938	-320.32581791447126	21.47035902462933	-189.0915329003799	-638.4194338929053
-704	346	-357	266	-166
-702	-364	318	-540	-278
-702	-77	-366	172	128
-698	62	-358	488	-213
-696	-582	-171	-499	26
-696	-229	-364	-110	17
-696	-76	-495	196	108
-694	-103	76	-272	-516
-692	-422	193	-553	-81
-690	-333	-45	-367	-161
-690	335	-542	-90	-65
-686	193	-560	155	-130
-683	384	-433	-29	-123
-680	85	-27	-400	-448
-680	136	-123	-408	-329
-678.5313984763807	-514.8371370129975	21.94538485077871	-454.72842210375427	-71.57428852131619
-677	-517	20	-457	-73
-677	-201	-547	-130	175
-677	-156	311	-521	-509
-677	-105	215	-529	-390
-677	159	-107	-100	-519
-676	-517.6607142857142	19.803571428571416	-459.92857142857144	-74.87499999999999
-675	221	-546	-153	-25
-674	-286	-337	-564	28
-674	281	-394	-100	-391
-673.9988625743181	-236.48924154751637	100.09863675008505	-446.4614302097213	-570.8650086161803
-672	376	-368	274	-413
-671	-156	218	-264	-646
-671	296	-338	-173	103
-671	360	-538	163	-366
-670	-303	39	-424	-444
-670	-245	45	-570	-266
-670	85	-220	-163	13
-670	85	-29	-338	-378
-667	100	-547	115	-135
-665	-264	-386	-71	143
-663	-240	-515	-48	-85
-661	-289	-24	-452	-370
-660	145	-410	258	-165
-659	-69	-363	-368	-79
-658	198	-345	-62	-273
-656	-314	-273	-291	130
-656	128	-533	-193	-30
-655	-246	99	-240	-527
-655	97	-305	-126	-322
-655	188	-381	-140	-396
-652	-117	-20	-226	-400
-651	-396	52	-464	-449
-651	-116	-98	-505	-303
-650	-118	142	-559	-603
-649	-529	-400	4	50
-649	-258	-557	222	165
-649	-218	20	-290	-449
-648	-424	15	-211	-308
-648	-367	-218	-235	246
-646	-508	100	-440	-373
-646	91	-247	-293	-370
-646	308	-396	-13	-233
-644	10	-42	-584	-187
-644	357	-569	32	-175
-643	-573	-232	58	38
-640	-224	78	-457	-497
-637	68	-237	-382	-17
-636	-145	13	-175	-593
-634	-91	-535	230	-71
-633	-631	-357	45	235
-633	-548	144	-296	-287
-631	-58	-351	-292	-194
-631	17	-234	-117	-273
-629	-107	-485	-50	2
-629	-103	-179	-356	-185
-627	-371	-75	-398	-132
-626	-203	-112	-188	-396
-624	-534	81	-324	-213
-623	-37	161	-560	-302
-622	38	-552	-116	-70
-621	-173	-243	-281	-551
-620.8256567398873	-409.39043571744577	92.41386194982127	-404.05667491182425	-611.5352595216191
-620.8174080314689	-417.1305955906488	93.5246760995176	-408.86437165815914	-613.6355988449441
-620	-109	-121	-523	-233
-619	-519	-320	-187	-254
-618	555	-420	-211	-334
-617	-163	47	-470	-479
-617	455	-542	58	-180
-615.2550445757973	-413.76205688862814	91.36185708384397	-406.8046116884084	-615.4427856023881
-615	-141	-302	-254	-76
-613	-248	-124	-522	-132
-610	-351	1	-419	-514
-610	46	-597	339	-78
-609	-45	-432	-143	-76
-607	-38	-416	295	-210
